incident_id,year,month,day_of_week,season,time_of_day,country,area_type,population_density_per_sqkm,crime_type,crime_severity_score,victim_count,victim_gender,victim_age_group,injuries_reported,fatalities,financial_loss_usd,weapon_used,suspect_status,case_status,reporting_method,response_time_minutes,officers_assigned,investigation_duration_days,repeat_offender,gang_related,drug_related,cctv_coverage,lighting_condition,prior_incidents_same_location,safety_index,crime_resolved
CRM0001267,2024,4,Tuesday,Summer,Morning (6am-12pm),France,Rural,142,Cybercrime,6.4,1,Female,46-55,0,0,2781.76,,At Large,Closed - Solved,Emergency Call,16.2,4,28,No,No,No,Full Coverage,Poorly Lit,1,71.5,Yes
CRM0001268,2023,10,Sunday,Summer,Morning (6am-12pm),Pakistan,Rural,111,Sexual Assault,4.7,5,Female,Under 18,0,0,300.38,Firearm,Convicted,Open - Active,Emergency Call,52.5,3,41,No,Yes,No,No Coverage,Partially Lit,4,47.0,No
CRM0001269,2024,8,Tuesday,Spring,Evening (6pm-10pm),Australia,Suburban,274,Theft,6.0,1,Male,65+,0,0,83.06,,Convicted,Closed - Solved,Police Station,19.5,4,33,No,,No,Partial Coverage,Partially Lit,1,72.5,Yes
CRM0001270,2023,3,Sunday,Spring,Afternoon (12pm-6pm),Turkey,,322,Burglary,7.4,1,Female,46-55,0,0,351.62,Blunt Object,At Large,Closed - Unsolved,Online Portal,20.6,3,33,Yes,No,No,Partial Coverage,Well Lit,1,70.0,No
CRM0001271,2024,9,Sunday,Autumn,Night (10pm-2am),Australia,Rural,79,Theft,3.2,2,Male,18-25,0,0,183.9,,Under Investigation,Open - Cold Case,Emergency Call,22.1,2,88,No,No,No,Partial Coverage,Poorly Lit,2,58.5,No
CRM0001272,2021,5,Sunday,Winter,Late Night (2am-6am),Nigeria,Urban,1701,Fraud,9.0,5,Female,26-35,4,2,374715.35,Knife,At Large,Closed - Unsolved,Police Station,109.2,3,260,Yes,Unknown,Unknown,No Coverage,Partially Lit,1,30.7,No
CRM0001273,2022,5,Friday,Autumn,Evening (6pm-10pm),Australia,Urban,1032,Vandalism,4.5,1,Female,65+,0,0,73.38,Firearm,Arrested,Closed - Solved,Anonymous Tip,22.1,2,35,Unknown,No,No,Partial Coverage,Poorly Lit,3,75.4,Yes
CRM0001274,2023,2,Friday,Winter,Night (10pm-2am),Australia,Suburban,523,Theft,8.6,4,Female,56-65,3,0,1330.49,Firearm,Arrested,Closed - Solved,Anonymous Tip,51.8,1,114,Unknown,Unknown,Yes,No Coverage,Poorly Lit,1,23.8,Yes
CRM0001275,2022,12,Saturday,Autumn,Evening (6pm-10pm),Indonesia,Urban,1325,Burglary,6.7,2,Male,Under 18,0,0,98.3,Knife,At Large,Open - Cold Case,Online Portal,45.6,2,36,Yes,No,Unknown,No Coverage,Poorly Lit,2,51.1,No
CRM0001276,2024,7,Saturday,Autumn,Morning (6am-12pm),Brazil,Suburban,257,Sexual Assault,5.5,1,Male,46-55,0,0,52.74,Blunt Object,Under Investigation,Open - Active,Community Report,22.0,5,12,Unknown,No,Yes,Full Coverage,Poorly Lit,1,62.4,No
CRM0001277,2025,1,Sunday,Spring,Afternoon (12pm-6pm),Pakistan,Suburban,303,Theft,7.1,2,Female,26-35,0,0,2019.77,Unknown,Convicted,Open - Cold Case,Police Station,17.6,4,50,Unknown,No,No,Partial Coverage,Well Lit,1,67.3,No
CRM0001278,2022,8,Thursday,Winter,Evening (6pm-10pm),Pakistan,,1162,Vandalism,6.2,1,Female,18-25,0,0,244.95,Firearm,Convicted,Closed - Solved,Emergency Call,54.5,3,29,No,No,No,Partial Coverage,Partially Lit,3,27.7,Yes
CRM0001279,2023,1,Friday,Spring,Afternoon (12pm-6pm),USA,Urban,3297,Cybercrime,8.3,2,Female,36-45,3,0,565.13,,At Large,Open - Active,Online Portal,71.6,4,65,Yes,No,Yes,Partial Coverage,Well Lit,3,26.3,No
CRM0001280,2021,3,Saturday,Winter,Late Night (2am-6am),France,Urban,1206,Extortion,5.4,1,Female,65+,1,0,30.91,,Acquitted,Open - Cold Case,Community Report,12.3,5,28,No,No,No,Partial Coverage,Poorly Lit,3,63.7,No
CRM0001281,2024,7,Friday,,Afternoon (12pm-6pm),Turkey,Remote,21,Theft,4.2,1,Male,36-45,0,0,37.44,Vehicle,Arrested,Open - Active,Emergency Call,28.6,1,10,Yes,Yes,No,Partial Coverage,Poorly Lit,1,74.1,No
CRM0001282,2023,9,Tuesday,Winter,Night (10pm-2am),India,Rural,103,Fraud,3.9,1,Male,18-25,0,0,177.78,Blunt Object,Unknown,Open - Active,Emergency Call,28.0,2,43,Yes,No,Yes,Partial Coverage,Partially Lit,3,76.0,No
CRM0001283,2023,10,Saturday,Spring,Evening (6pm-10pm),Germany,Urban,1625,Drug Offense,6.8,3,Male,Under 18,0,0,259.72,,Unknown,Open - Active,Emergency Call,32.9,3,31,No,Unknown,No,Partial Coverage,Partially Lit,6,35.3,No
CRM0001284,2024,9,Tuesday,Spring,Evening (6pm-10pm),Mexico,Rural,75,Drug Offense,8.3,2,Male,26-35,0,1,2586.01,,Arrested,Closed - Unsolved,Police Station,49.4,4,123,Unknown,No,No,Partial Coverage,No Lighting,1,66.6,No
CRM0001285,2022,3,Thursday,Winter,Afternoon (12pm-6pm),Brazil,Urban,4241,Drug Offense,8.6,1,Male,18-25,4,0,725.31,,Arrested,Open - Cold Case,Emergency Call,43.3,2,45,No,No,Yes,No Coverage,Well Lit,3,24.9,No
CRM0001286,2024,12,Tuesday,Spring,Late Night (2am-6am),Turkey,Suburban,439,Fraud,5.3,2,Male,26-35,0,0,377.35,,Under Investigation,Closed - Unsolved,Anonymous Tip,51.6,4,26,No,Yes,No,No Coverage,No Lighting,2,48.5,No
CRM0001287,2025,5,Sunday,Summer,Night (10pm-2am),Australia,Urban,3342,Theft,8.6,3,Female,36-45,2,0,72.7,Blunt Object,Convicted,Open - Cold Case,Police Station,27.0,5,11,Yes,Yes,No,Full Coverage,Well Lit,4,41.6,No
CRM0001288,2024,3,Saturday,Autumn,Evening (6pm-10pm),Canada,Suburban,729,Vandalism,9.1,4,Male,18-25,2,1,9348.88,,Convicted,Open - Active,Emergency Call,29.3,2,30,No,Yes,No,Partial Coverage,Partially Lit,1,27.6,No
CRM0001289,2022,8,Sunday,Autumn,Night (10pm-2am),South Africa,Remote,25,Cybercrime,4.6,2,Male,18-25,0,0,1963.55,,Convicted,Pending Trial,Emergency Call,8.3,4,36,Yes,Unknown,Unknown,Full Coverage,Poorly Lit,2,80.2,Yes
CRM0001290,2022,3,Wednesday,Winter,Afternoon (12pm-6pm),India,Rural,96,Robbery,2.5,1,Male,26-35,0,0,56.06,Vehicle,Arrested,Closed - Unsolved,Police Station,20.2,1,29,No,Yes,No,Full Coverage,Partially Lit,2,77.9,No
CRM0001291,2024,9,Saturday,Autumn,Evening (6pm-10pm),India,Urban,6468,Vandalism,4.6,1,Male,18-25,0,0,19.55,Blunt Object,Arrested,Closed - Unsolved,Community Report,81.9,2,7,No,No,Yes,Partial Coverage,Partially Lit,6,45.6,No
CRM0001292,2021,8,Saturday,Winter,Morning (6am-12pm),Pakistan,Urban,935,Assault,2.6,1,Female,18-25,0,0,61.06,Knife,At Large,Open - Cold Case,Online Portal,19.5,3,67,No,No,No,Partial Coverage,No Lighting,3,79.1,No
CRM0001293,2022,3,Saturday,Spring,Evening (6pm-10pm),Pakistan,,954,Kidnapping,8.1,3,Female,Under 18,3,0,480.01,Firearm,Under Investigation,Closed - Solved,Police Station,22.0,10,143,Yes,Yes,No,Full Coverage,Well Lit,2,39.0,Yes
CRM0001294,2022,7,Wednesday,Spring,Night (10pm-2am),Mexico,Suburban,434,Assault,5.5,1,Female,65+,0,0,104.69,Unknown,At Large,Open - Active,Emergency Call,21.1,1,35,No,No,Yes,Partial Coverage,No Lighting,2,66.4,No
CRM0001295,2021,7,Sunday,Summer,Evening (6pm-10pm),Germany,Rural,173,Drug Offense,8.6,2,Female,36-45,4,0,1559.25,,Arrested,Closed - Solved,Police Station,39.8,5,186,Yes,No,No,Partial Coverage,Well Lit,2,42.1,Yes
CRM0001296,2021,5,Sunday,Winter,Afternoon (12pm-6pm),USA,Suburban,499,Domestic Violence,8.1,1,Male,56-65,3,0,4079.2,,Convicted,Closed - Unsolved,Police Station,34.1,2,51,Yes,No,No,No Coverage,No Lighting,2,34.2,No
CRM0001297,2023,9,Monday,,Evening (6pm-10pm),Canada,Suburban,538,Robbery,7.8,4,Female,26-35,4,1,4189.5,,Unknown,Closed - Unsolved,Emergency Call,13.2,3,36,No,No,No,Partial Coverage,Well Lit,1,34.3,No
CRM0001298,2025,7,Sunday,Autumn,Morning (6am-12pm),Nigeria,Urban,7908,Drug Offense,9.0,1,Female,36-45,5,0,604.76,Knife,Under Investigation,Open - Active,Online Portal,73.1,1,32,No,,No,No Coverage,Well Lit,4,19.7,No
CRM0001299,2024,8,Saturday,Winter,Evening (6pm-10pm),Indonesia,Rural,172,Robbery,3.1,1,Unknown,18-25,0,0,135.92,Vehicle,Arrested,Open - Cold Case,Emergency Call,33.6,3,10,No,No,No,Partial Coverage,Poorly Lit,3,69.2,No
CRM0001300,2025,7,Saturday,Autumn,Night (10pm-2am),Pakistan,Suburban,511,Fraud,5.8,1,Male,26-35,0,0,178.03,Knife,Unknown,Closed - Unsolved,Emergency Call,38.3,2,36,Unknown,No,No,No Coverage,No Lighting,3,38.7,No
CRM0001301,2022,9,Sunday,Autumn,Afternoon (12pm-6pm),Canada,Rural,120,Domestic Violence,6.3,1,Male,36-45,2,0,2214.84,,Arrested,Pending Trial,Online Portal,15.8,2,51,Yes,No,Yes,Full Coverage,Poorly Lit,4,57.3,Yes
CRM0001302,2024,5,Thursday,Spring,Night (10pm-2am),USA,Rural,65,Robbery,5.2,1,Female,46-55,0,0,612.93,Chemical,Arrested,Open - Cold Case,Emergency Call,13.6,3,39,Yes,No,No,Partial Coverage,Partially Lit,2,60.3,No
CRM0001303,2022,11,Sunday,Winter,Morning (6am-12pm),India,Remote,18,Assault,3.2,2,Unknown,26-35,0,0,665.91,Firearm,Under Investigation,Closed - Unsolved,Online Portal,17.6,4,34,Yes,Yes,No,Partial Coverage,No Lighting,1,72.8,No
CRM0001304,2023,8,Sunday,Autumn,Late Night (2am-6am),India,Urban,1687,Domestic Violence,5.6,1,Female,36-45,2,0,41.64,Blunt Object,Unknown,Closed - Unsolved,Anonymous Tip,34.4,3,13,No,No,Yes,Partial Coverage,Well Lit,6,58.2,No
CRM0001305,2024,6,Sunday,Summer,Morning (6am-12pm),Australia,Remote,19,Assault,8.9,2,Male,56-65,3,0,9924.93,Unknown,Under Investigation,Closed - Solved,Online Portal,13.5,6,92,Yes,Yes,No,Full Coverage,No Lighting,2,71.6,Yes
CRM0001306,2023,3,Thursday,Summer,Night (10pm-2am),Indonesia,Urban,2799,Vandalism,2.1,1,Male,36-45,0,0,75.42,,Arrested,Closed - Solved,Emergency Call,27.6,4,24,Unknown,Yes,No,Full Coverage,Partially Lit,1,81.9,Yes
CRM0001307,2025,3,Saturday,Winter,Evening (6pm-10pm),Turkey,Urban,3432,Theft,6.6,1,Male,65+,0,0,47.4,Vehicle,Arrested,Closed - Solved,Police Station,25.6,3,99,Yes,Unknown,No,Partial Coverage,Partially Lit,3,54.8,Yes
CRM0001308,2024,7,Sunday,Autumn,Night (10pm-2am),Pakistan,Rural,174,Burglary,4.4,1,Male,26-35,0,0,60.71,Firearm,Arrested,Open - Cold Case,Emergency Call,55.9,4,40,Unknown,No,No,No Coverage,Partially Lit,2,69.4,No
CRM0001309,2024,5,Monday,Winter,Evening (6pm-10pm),Germany,Rural,61,Robbery,5.7,1,Male,46-55,0,3,1821.41,Unknown,Arrested,Closed - Solved,Police Station,13.6,5,94,No,Yes,No,Full Coverage,Poorly Lit,1,68.1,Yes
CRM0001310,2024,8,Saturday,Winter,Afternoon (12pm-6pm),Australia,Suburban,423,Burglary,6.5,3,Female,46-55,2,0,466.77,Blunt Object,At Large,Pending Trial,Emergency Call,22.9,4,32,Unknown,No,No,Partial Coverage,Partially Lit,3,50.3,Yes
CRM0001311,2022,8,Friday,Spring,Morning (6am-12pm),Pakistan,Rural,133,Extortion,7.0,2,Unknown,36-45,0,0,820.17,Knife,Unknown,Open - Active,Anonymous Tip,16.7,2,61,No,No,No,Partial Coverage,Partially Lit,1,43.7,No
CRM0001312,2021,2,Friday,Summer,Morning (6am-12pm),Nigeria,,1702,Drug Offense,6.1,3,Male,36-45,1,0,3380.86,,At Large,Open - Cold Case,Police Station,33.3,4,18,Yes,Yes,Yes,Full Coverage,Partially Lit,3,63.8,No
CRM0001313,2025,10,Sunday,Winter,Morning (6am-12pm),South Africa,Rural,123,Burglary,3.9,1,Female,18-25,0,0,63.47,,Convicted,Closed - Unsolved,Emergency Call,31.0,2,6,No,Yes,Yes,No Coverage,Poorly Lit,1,63.4,No
CRM0001314,2025,1,Sunday,Summer,Evening (6pm-10pm),Australia,Suburban,584,Theft,6.8,3,Male,26-35,2,0,196.1,Firearm,Arrested,Closed - Solved,Community Report,8.7,4,44,Yes,No,Yes,Full Coverage,Partially Lit,3,68.0,Yes
CRM0001315,2023,3,Friday,Summer,Evening (6pm-10pm),South Africa,Suburban,327,Robbery,4.4,1,Male,,0,0,71.12,Knife,Arrested,Closed - Solved,Police Station,55.1,2,33,No,Yes,No,No Coverage,No Lighting,0,39.2,Yes
CRM0001316,2024,4,Sunday,Summer,Morning (6am-12pm),Pakistan,Suburban,322,Vandalism,6.9,2,Male,56-65,2,0,416.99,Blunt Object,Convicted,Open - Active,Emergency Call,56.4,3,73,No,No,Unknown,No Coverage,Partially Lit,1,61.3,No
CRM0001317,2023,10,Saturday,Summer,Night (10pm-2am),Australia,Rural,97,Arson,7.4,2,Male,26-35,0,0,439.68,Knife,Convicted,Pending Trial,Community Report,89.7,4,51,No,Yes,No,Partial Coverage,No Lighting,0,54.2,Yes
CRM0001318,2024,7,Thursday,Autumn,Morning (6am-12pm),Nigeria,Remote,15,Fraud,1.3,1,Female,36-45,0,0,22.52,Knife,Arrested,Closed - Solved,Emergency Call,4.5,3,12,No,No,Yes,Full Coverage,No Lighting,0,93.4,Yes
CRM0001319,2025,3,Tuesday,Winter,Morning (6am-12pm),Egypt,Remote,12,Assault,5.2,1,Male,26-35,0,0,113.94,Blunt Object,Arrested,Open - Cold Case,Emergency Call,13.2,3,38,Yes,,No,Partial Coverage,Poorly Lit,1,56.8,No
CRM0001320,2024,9,Saturday,Winter,Morning (6am-12pm),Australia,,83,Extortion,5.5,1,Male,36-45,0,0,246.67,Unknown,Arrested,Closed - Solved,Community Report,21.3,6,29,No,No,No,Partial Coverage,Poorly Lit,1,69.2,Yes
CRM0001321,2023,9,Sunday,Winter,Morning (6am-12pm),France,Suburban,675,Fraud,9.5,3,Female,65+,4,0,86.54,Firearm,Arrested,Open - Active,Community Report,36.4,4,12,Unknown,No,No,No Coverage,Well Lit,0,24.6,No
CRM0001322,2021,6,Friday,Summer,Evening (6pm-10pm),Pakistan,Urban,4075,Drug Offense,5.3,2,Male,46-55,3,0,477.85,Firearm,At Large,Open - Active,Online Portal,27.2,3,57,Unknown,Unknown,Yes,Full Coverage,Well Lit,5,37.9,No
CRM0001323,2025,6,Sunday,Autumn,Morning (6am-12pm),Australia,Urban,9310,Domestic Violence,7.4,1,Female,46-55,0,0,4193.41,Blunt Object,At Large,Closed - Unsolved,Police Station,57.2,3,20,No,No,No,Partial Coverage,Well Lit,4,38.0,No
CRM0001324,2022,11,Saturday,Spring,Evening (6pm-10pm),Germany,Urban,3991,Theft,4.4,1,Male,,0,0,17.88,Unknown,Under Investigation,Closed - Unsolved,Online Portal,25.1,3,23,Unknown,No,Unknown,Full Coverage,Partially Lit,4,63.1,No
CRM0001325,2022,10,Saturday,Winter,Night (10pm-2am),Indonesia,,3920,Burglary,7.0,2,Male,65+,0,1,990.81,,At Large,Open - Cold Case,Emergency Call,27.7,3,46,Unknown,Unknown,No,Partial Coverage,Well Lit,4,33.6,No
CRM0001326,2024,4,Thursday,Winter,Night (10pm-2am),Mexico,Urban,3222,Assault,9.6,3,Male,46-55,2,3,1794.14,Firearm,Arrested,Closed - Solved,Community Report,57.0,4,42,Yes,No,Unknown,Partial Coverage,Partially Lit,5,22.5,Yes
CRM0001327,2024,7,Monday,Autumn,Evening (6pm-10pm),Canada,Urban,978,Vandalism,4.8,3,Female,26-35,0,0,311.33,,At Large,Closed - Unsolved,Police Station,64.6,1,305,No,No,Unknown,No Coverage,Well Lit,2,33.8,No
CRM0001328,2025,5,Friday,Winter,Evening (6pm-10pm),UK,Suburban,436,Sexual Assault,4.5,3,Female,46-55,0,0,190.83,,Under Investigation,Open - Active,Police Station,17.9,3,69,Unknown,Yes,No,Partial Coverage,No Lighting,2,72.4,No
CRM0001329,2024,10,Sunday,Spring,Evening (6pm-10pm),Australia,Urban,6954,Fraud,2.1,1,Male,36-45,0,0,35.36,Unknown,At Large,Closed - Solved,Emergency Call,40.8,5,32,No,No,No,Full Coverage,Well Lit,4,59.8,Yes
CRM0001330,2023,10,Friday,Winter,Afternoon (12pm-6pm),Brazil,,40,Vandalism,6.4,1,Male,46-55,0,0,1099.47,Firearm,At Large,Open - Cold Case,Community Report,10.8,4,126,No,No,Yes,Partial Coverage,Partially Lit,2,55.5,No
CRM0001331,2024,12,Tuesday,Winter,Night (10pm-2am),USA,,162,Robbery,9.6,3,Female,36-45,9,3,12465.86,,Under Investigation,Closed - Unsolved,Online Portal,12.3,6,40,No,No,No,Partial Coverage,Poorly Lit,1,35.0,No
CRM0001332,2024,6,Saturday,Spring,Afternoon (12pm-6pm),South Africa,Suburban,723,Theft,7.8,3,Female,36-45,2,0,68.4,Firearm,Convicted,Pending Trial,Emergency Call,19.3,5,37,No,No,No,Full Coverage,Partially Lit,2,69.5,Yes
CRM0001333,2023,8,Saturday,Autumn,Late Night (2am-6am),South Africa,Urban,1454,Sexual Assault,9.5,3,Male,26-35,0,0,9937.88,Unknown,Unknown,Closed - Unsolved,Online Portal,21.8,6,55,No,,No,Full Coverage,Well Lit,4,34.6,No
CRM0001334,2022,1,Sunday,Autumn,Evening (6pm-10pm),Australia,Suburban,606,Robbery,6.9,2,Male,46-55,0,0,1523.27,,At Large,Open - Active,Police Station,23.5,3,45,No,No,No,No Coverage,Partially Lit,3,42.5,No
CRM0001335,2021,10,Sunday,Spring,Afternoon (12pm-6pm),India,Suburban,459,Cybercrime,2.6,1,Male,36-45,0,0,12.22,,Arrested,Open - Cold Case,Emergency Call,34.4,2,9,No,No,Yes,Partial Coverage,Well Lit,3,62.8,No
CRM0001336,2021,7,Saturday,Autumn,Evening (6pm-10pm),Indonesia,Urban,779,Theft,8.7,2,Male,Under 18,2,0,2865.35,Firearm,Under Investigation,Closed - Solved,Anonymous Tip,19.8,5,69,Yes,No,No,Partial Coverage,Partially Lit,4,69.3,Yes
CRM0001337,2021,5,Friday,Summer,Evening (6pm-10pm),Pakistan,Rural,151,Fraud,2.2,1,Male,26-35,0,0,96.67,Vehicle,At Large,Pending Trial,Emergency Call,8.3,3,6,No,No,No,Partial Coverage,Well Lit,3,73.0,Yes
CRM0001338,2025,4,Thursday,Autumn,Evening (6pm-10pm),South Africa,Suburban,719,Fraud,6.0,4,Female,Under 18,0,0,126.08,Unknown,At Large,Open - Cold Case,Community Report,33.4,2,74,No,Yes,Unknown,No Coverage,No Lighting,1,48.6,No
CRM0001339,2023,3,Friday,Spring,Night (10pm-2am),Egypt,Urban,2041,Robbery,5.4,1,Male,46-55,1,0,3547.76,Chemical,At Large,Open - Active,Online Portal,64.9,2,106,Yes,No,Yes,No Coverage,Well Lit,4,32.1,No
CRM0001340,2024,3,Monday,Winter,Night (10pm-2am),Mexico,Rural,43,Cybercrime,6.6,2,Female,26-35,4,0,136.32,Blunt Object,Unknown,Open - Active,Police Station,14.8,4,5,No,No,Yes,Partial Coverage,Well Lit,0,70.6,No
CRM0001341,2023,4,Saturday,Autumn,Afternoon (12pm-6pm),Canada,,251,Assault,4.9,1,Female,18-25,0,0,264.59,,Arrested,Closed - Solved,Anonymous Tip,19.8,5,17,Yes,No,No,Full Coverage,Partially Lit,3,75.0,Yes
CRM0001342,2022,9,Saturday,Spring,Afternoon (12pm-6pm),Brazil,Urban,888,Theft,7.4,2,Male,18-25,0,1,168.75,,Arrested,Open - Cold Case,Police Station,14.4,5,44,No,No,No,Full Coverage,Poorly Lit,1,62.0,No
CRM0001343,2022,4,Saturday,Autumn,Late Night (2am-6am),Egypt,Urban,2997,Burglary,4.5,1,Male,36-45,0,0,352.61,Vehicle,Under Investigation,Closed - Unsolved,Police Station,44.7,3,16,Yes,No,No,Partial Coverage,Well Lit,4,55.8,No
CRM0001344,2024,6,Saturday,Spring,Evening (6pm-10pm),Australia,,1010,Cybercrime,3.3,1,Male,46-55,0,0,12.36,,Convicted,Open - Active,Police Station,51.7,2,18,No,No,No,No Coverage,Well Lit,1,55.9,No
CRM0001345,2021,4,Thursday,Summer,Late Night (2am-6am),South Africa,Urban,1534,Robbery,3.8,1,Unknown,36-45,0,0,407.93,,Arrested,Open - Active,Online Portal,12.9,4,40,Unknown,No,No,Partial Coverage,Poorly Lit,4,43.9,No
CRM0001346,2024,10,Monday,Winter,Evening (6pm-10pm),Pakistan,,1165,Kidnapping,3.6,1,Male,65+,0,0,73.0,,Under Investigation,Open - Active,Community Report,44.3,2,12,No,Unknown,Yes,Partial Coverage,Well Lit,3,59.2,No
CRM0001347,2023,1,Tuesday,Winter,Evening (6pm-10pm),India,Rural,77,Robbery,2.6,1,Female,26-35,0,0,67.37,Vehicle,Under Investigation,Closed - Unsolved,Online Portal,35.1,2,45,No,No,Yes,Partial Coverage,No Lighting,2,68.1,No
CRM0001348,2024,10,Tuesday,Spring,Afternoon (12pm-6pm),Nigeria,Suburban,643,Domestic Violence,4.6,2,Male,26-35,0,0,158.41,,Acquitted,Closed - Unsolved,Police Station,63.4,1,103,Yes,No,No,No Coverage,Well Lit,2,46.9,No
CRM0001349,2021,4,Wednesday,Spring,Morning (6am-12pm),Brazil,Rural,84,Fraud,6.5,1,Female,36-45,0,0,167.19,Knife,Convicted,Open - Cold Case,Emergency Call,60.8,1,19,No,No,Unknown,No Coverage,Poorly Lit,2,41.1,No
CRM0001350,2023,7,Saturday,Autumn,Late Night (2am-6am),Nigeria,,89,Vandalism,3.4,1,Male,36-45,0,0,112.47,Firearm,Acquitted,Open - Active,Community Report,20.4,1,25,No,Unknown,Unknown,No Coverage,Poorly Lit,1,82.8,No
CRM0001351,2024,11,Monday,Autumn,Evening (6pm-10pm),USA,Rural,153,Theft,4.9,1,Female,46-55,0,0,38.35,,Convicted,Closed - Solved,Police Station,12.3,3,8,Yes,No,No,Partial Coverage,Poorly Lit,2,65.5,Yes
CRM0001352,2021,4,Wednesday,Winter,Night (10pm-2am),Germany,Urban,748,Robbery,4.0,1,Male,56-65,0,0,21.28,,Arrested,Closed - Unsolved,Police Station,30.0,1,13,Unknown,No,Unknown,Partial Coverage,Well Lit,3,76.5,No
CRM0001353,2025,11,Friday,Spring,Night (10pm-2am),Brazil,Suburban,579,Murder,5.7,1,Male,46-55,0,0,156.72,,Convicted,Closed - Solved,Police Station,43.5,3,21,Unknown,No,No,Partial Coverage,Well Lit,0,60.9,Yes
CRM0001354,2022,2,Tuesday,Summer,Night (10pm-2am),USA,Urban,6040,Theft,6.6,1,Unknown,18-25,0,0,204.63,Blunt Object,At Large,Open - Cold Case,Police Station,34.0,4,11,Yes,No,Yes,Partial Coverage,Well Lit,4,34.8,No
CRM0001355,2023,10,Tuesday,Autumn,Evening (6pm-10pm),India,Remote,14,Theft,7.5,5,Female,18-25,1,2,59027.06,Knife,Under Investigation,Closed - Solved,Police Station,7.6,6,98,Yes,No,Yes,Full Coverage,Well Lit,0,63.8,Yes
CRM0001356,2022,11,Monday,Summer,Night (10pm-2am),India,,219,Burglary,3.7,1,Male,56-65,0,0,17.23,Vehicle,Under Investigation,Closed - Unsolved,Police Station,38.9,2,27,No,Yes,Unknown,Partial Coverage,Partially Lit,2,72.3,No
CRM0001357,2025,10,Tuesday,Spring,Night (10pm-2am),Pakistan,Suburban,670,Fraud,5.2,1,Female,46-55,0,0,178.85,,Arrested,Closed - Solved,Police Station,10.4,3,53,Yes,No,No,Full Coverage,Partially Lit,5,75.7,Yes
CRM0001358,2025,1,Sunday,Spring,Afternoon (12pm-6pm),Pakistan,Rural,87,Cybercrime,6.0,2,Female,36-45,2,0,96.01,Vehicle,Unknown,Closed - Unsolved,Police Station,28.2,2,28,No,No,Yes,No Coverage,Partially Lit,1,68.7,No
CRM0001359,2021,11,Saturday,Summer,Evening (6pm-10pm),Turkey,Suburban,426,Robbery,6.3,2,Male,18-25,0,0,607.78,Unknown,Unknown,Closed - Solved,Police Station,44.9,2,53,No,No,No,No Coverage,,3,34.0,Yes
CRM0001360,2021,1,Thursday,Autumn,Morning (6am-12pm),USA,Suburban,226,Sexual Assault,4.8,3,Female,65+,1,0,355.28,,At Large,Open - Active,Police Station,17.0,3,37,No,No,No,Partial Coverage,Well Lit,3,54.3,No
CRM0001361,2023,6,Saturday,Autumn,Evening (6pm-10pm),Germany,Suburban,187,Drug Offense,6.7,1,Male,36-45,4,0,843.27,Firearm,Under Investigation,Open - Active,Community Report,25.3,2,31,No,No,No,No Coverage,Poorly Lit,2,33.3,No
CRM0001362,2024,5,Monday,Summer,Evening (6pm-10pm),Germany,Urban,2984,Sexual Assault,4.9,1,Male,36-45,0,0,377.12,,At Large,Closed - Solved,Emergency Call,19.4,8,56,No,No,No,Full Coverage,,5,77.5,Yes
CRM0001363,2025,6,Friday,Spring,Night (10pm-2am),Australia,Rural,157,Sexual Assault,4.4,1,Male,46-55,0,0,12.24,,Arrested,Open - Active,Police Station,12.3,3,12,No,No,No,Partial Coverage,Partially Lit,1,80.5,No
CRM0001364,2025,8,Saturday,Spring,Night (10pm-2am),Germany,Urban,826,Robbery,2.8,1,Male,56-65,0,0,33.46,,Under Investigation,Closed - Unsolved,Emergency Call,32.3,3,29,Yes,Unknown,Unknown,Full Coverage,No Lighting,3,72.4,No
CRM0001365,2022,4,Wednesday,Autumn,Evening (6pm-10pm),Pakistan,Suburban,367,Theft,6.4,3,Male,36-45,0,0,1882.17,,Convicted,Closed - Solved,Police Station,11.4,6,99,Yes,No,No,Full Coverage,Poorly Lit,1,63.8,Yes
CRM0001366,2023,4,Friday,Winter,Evening (6pm-10pm),Pakistan,Suburban,536,Assault,6.7,3,Female,65+,2,0,204.32,Knife,Arrested,Closed - Solved,Police Station,13.6,4,18,No,No,No,Partial Coverage,Partially Lit,1,60.1,Yes
CRM0001367,2022,4,Wednesday,Winter,Evening (6pm-10pm),USA,Rural,93,Theft,2.8,1,Male,36-45,0,0,663.52,,Acquitted,Open - Cold Case,Emergency Call,20.4,4,265,Yes,Unknown,No,Full Coverage,Well Lit,1,77.6,No
CRM0001368,2023,4,Thursday,Autumn,Afternoon (12pm-6pm),India,Rural,165,Cybercrime,3.3,1,Male,46-55,0,0,32.33,Blunt Object,At Large,Closed - Unsolved,Emergency Call,72.8,1,10,No,Yes,No,No Coverage,Poorly Lit,3,64.1,No
CRM0001369,2023,6,Thursday,Summer,Afternoon (12pm-6pm),Indonesia,Rural,103,Assault,4.9,3,Female,36-45,0,0,6696.44,Knife,Under Investigation,Closed - Solved,Emergency Call,11.3,8,37,Yes,No,No,Full Coverage,Well Lit,1,67.0,Yes
CRM0001370,2021,12,Monday,Winter,Evening (6pm-10pm),South Africa,Suburban,626,Drug Offense,7.0,2,Unknown,18-25,0,0,1136.71,Knife,Arrested,Open - Cold Case,Online Portal,57.6,4,64,Unknown,,No,Partial Coverage,Partially Lit,2,32.9,No
